,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1280,Diamond Princess,US,2020-04-12 23:18:15,,,49,0,0.0,49.0,888.0,,,,0.0,84088888,USA,,
1340,Diamond Princess,US,2020-04-13 23:07:54,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
592,Diamond Princess,US,2020-04-14 23:33:31,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
533,Diamond Princess,US,2020-04-15 22:56:51,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
1747,Diamond Princess,US,2020-04-16 23:30:51,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
1806,Diamond Princess,US,2020-04-17 23:30:52,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
883,Diamond Princess,US,2020-04-18 22:32:47,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
1023,Diamond Princess,US,2020-04-19 23:41:01,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
358,Diamond Princess,US,2020-04-20 23:36:47,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
299,Diamond Princess,US,2020-04-21 23:40:34,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
2215,Diamond Princess,US,2020-04-22 23:40:26,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
2274,Diamond Princess,US,2020-04-24 03:33:00,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
3552,Diamond Princess,US,2020-04-25 06:32:46,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
3493,Diamond Princess,US,2020-04-26 02:32:45,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
1163,Diamond Princess,US,2020-04-27 02:32:46,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
1222,Diamond Princess,US,2020-04-28 02:32:46,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
1981,Diamond Princess,US,2020-04-29 02:32:33,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
2040,Diamond Princess,US,2020-04-30 02:32:31,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
1573,Diamond Princess,US,2020-05-01 02:32:32,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
125,Diamond Princess,US,2020-05-02 02:32:31,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
2391,Diamond Princess,US,2020-05-03 02:32:33,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
2333,Diamond Princess,US,2020-05-04 02:32:32,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
2797,Diamond Princess,US,2020-05-05 02:32:38,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
2855,Diamond Princess,US,2020-05-06 02:32:35,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
1689,Diamond Princess,US,2020-05-07 02:32:32,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
1631,Diamond Princess,US,2020-05-08 02:32:36,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
2623,Diamond Princess,US,2020-05-09 02:32:39,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
2565,Diamond Princess,US,2020-05-10 02:32:34,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
1399,Diamond Princess,US,2020-05-11 02:32:34,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
1457,Diamond Princess,US,2020-05-12 03:32:31,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
3203,Diamond Princess,US,2020-05-13 03:32:30,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
3145,Diamond Princess,US,2020-05-14 03:32:32,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
1865,Diamond Princess,US,2020-05-15 02:33:07,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
1923,Diamond Princess,US,2020-05-16 02:32:24,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
709,Diamond Princess,US,2020-05-17 02:32:37,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
651,Diamond Princess,US,2020-05-18 02:32:26,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
3435,Diamond Princess,US,2020-05-19 02:32:23,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
3377,Diamond Princess,US,2020-05-20 02:32:25,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
2099,Diamond Princess,US,2020-05-21 02:32:54,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
2157,Diamond Princess,US,2020-05-22 02:36:57,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
241,Diamond Princess,US,2020-05-23 02:32:47,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
183,Diamond Princess,US,2020-05-24 02:32:48,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
767,Diamond Princess,US,2020-05-25 02:32:50,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
825,Diamond Princess,US,2020-05-26 02:32:41,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
3319,Diamond Princess,US,2020-05-27 02:32:37,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
3261,Diamond Princess,US,2020-05-28 02:32:37,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
475,Diamond Princess,US,2020-05-29 02:32:58,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
417,Diamond Princess,US,2020-05-30 02:32:55,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
3029,Diamond Princess,US,2020-05-31 02:32:52,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
3087,Diamond Princess,US,2020-06-01 02:32:54,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
1515,Diamond Princess,US,2020-06-02 02:33:16,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
2971,Diamond Princess,US,2020-06-03 02:33:21,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
2913,Diamond Princess,US,2020-06-04 02:33:23,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
2449,Diamond Princess,US,2020-06-05 02:33:15,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
2507,Diamond Princess,US,2020-06-06 02:33:09,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
67,Diamond Princess,US,2020-06-07 03:53:50,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
9,Diamond Princess,US,2020-06-08 03:33:42,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
2739,Diamond Princess,US,2020-06-09 03:33:19,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
2681,Diamond Princess,US,2020-06-10 04:07:14,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
